"Carimbo de data/hora","Qual a sua idade?","Que tipo de escola você frequentou no ensino médio?","Você tem computador em casa?","Qual a distância em kilometros de sua casa até a UnB? (Consulte o google maps)","Atualmente você está namorando?","Como você avalia esse curso de nivelamento?"
"2022/05/27 3:12:22 PM GMT-3","19","Pública","Sim","30","Não","8"
"2022/05/27 3:12:38 PM GMT-3","18","Particular","Sim","15","Não","10"
"2022/05/27 3:12:55 PM GMT-3","21","Pública","Sim","38","Não","10"
"2022/05/27 3:13:01 PM GMT-3","24","Particular","Sim","15","Sim","10"
"2022/05/27 3:13:09 PM GMT-3","25","Particular","Sim","7","Não","10"
"2022/05/27 3:13:12 PM GMT-3","18","Particular","Sim","24 ","Não","10"
"2022/05/27 3:13:46 PM GMT-3","18","Particular","Sim","25","Sim","10"
"2022/05/27 3:13:51 PM GMT-3","18","Particular","Sim","22","Não","10"
"2022/05/27 3:14:13 PM GMT-3","18","Particular","Sim","24","Não","10"
"2022/05/27 3:14:13 PM GMT-3","18","Pública","Sim","12","Não","10"
"2022/05/27 3:14:35 PM GMT-3","18","Pública","Sim","16","Não","9"
"2022/05/27 3:14:56 PM GMT-3","23","Pública","Sim","35","Sim","9"
"2022/05/27 3:15:25 PM GMT-3","18","Particular","Sim","29.5","Sim","9"
"2022/05/27 3:15:33 PM GMT-3","18","Particular","Sim","19 ","Não","9"
"2022/05/27 3:15:49 PM GMT-3","18","Particular","Sim","1.2","Não","8"
"2022/05/27 3:16:16 PM GMT-3","18","Pública","Sim","3.2","Não","10"
"2022/05/27 3:16:39 PM GMT-3","18","Particular","Sim","19","Não","9"
"2022/05/27 3:16:45 PM GMT-3","17","Particular","Sim","24","Não","9"
"2022/05/27 3:16:46 PM GMT-3","18","Particular","Sim","26 ","Não","8"
"2022/05/27 3:16:47 PM GMT-3","18","Pública","Sim","37","Não","9"
"2022/05/27 3:16:55 PM GMT-3","18","Particular","Sim","20","Não","10"
"2022/05/27 3:17:03 PM GMT-3","18","Particular","Sim","21","Não","8"
"2022/05/27 3:17:42 PM GMT-3","20","Particular","Sim","2","Não","10"
"2022/05/27 3:18:18 PM GMT-3","18","Particular","Sim","53","Não","8"
"2022/05/27 3:18:20 PM GMT-3","18","Pública","Sim","40","Sim","9"